| +I |                    1 |                90174 |                 5670 |                       FaceBook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description D |                 6225 |                 4073 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2622 |                   25 |                 auction_extra2 |
| +I |                  186 |                74859 |                 9950 |                       facebook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra1 |                         Item C |                  Description D |                 6257 |                 5335 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6732 |                   20 |                 auction_extra1 |
| +I |                  187 |                15825 |                 6485 |                          aPpLe |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                        extra10 |                         Item B |                  Description A |                 2496 |                 3637 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9503 |                   20 |                 auction_extra2 |
| +I |                  188 |                60530 |                 3117 |                          baidu | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra8 |                         Item B |                  Description C |                 7635 |                 3855 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5067 |                   15 |                 auction_extra4 |
| +I |                  189 |                71481 |                 7781 |                       FaceBook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra2 |                         Item B |                  Description D |                 5874 |                 4886 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1327 |                   25 |                 auction_extra7 |
| +I |                  190 |                28037 |                 5078 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra9 |                         Item D |                  Description E |                 7646 |                 1799 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7691 |                   25 |                 auction_extra5 |
| +I |                  191 |                63480 |                 3918 |                       facebook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra2 |                         Item D |                  Description D |                 5262 |                 6106 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9965 |                   10 |                 auction_extra3 |
| +I |                  192 |                90819 |                 2745 |                         google |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra8 |                         Item A |                  Description A |                 3539 |                 2965 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7787 |                   15 |                 auction_extra8 |
| +I |                  193 |                97670 |                 5737 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra2 |                         Item C |                  Description D |                 4942 |                 2775 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2761 |                   10 |                 auction_extra7 |
| +I |                  194 |                85316 |                 9366 |                       facebook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra8 |                         Item C |                  Description B |                 6787 |                 2980 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7695 |                   20 |                 auction_extra3 |
| +I |                  195 |                80919 |                 7894 |                         google | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra1 |                         Item D |                  Description A |                 5078 |                 6037 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9464 |                   15 |                 auction_extra6 |
| +I |                  196 |                50577 |                 2092 |                          baidu |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra8 |                         Item D |                  Description D |                 4567 |                 2094 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3788 |                    5 |                 auction_extra8 |
| +I |                  197 |                48728 |                 2583 |                       facebook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra2 |                         Item E |                  Description B |                 4130 |                 4152 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7896 |                   25 |                 auction_extra3 |
| +I |                  198 |                61452 |                 4169 |                       facebook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                        extra10 |                         Item E |                  Description E |                 7798 |                 1849 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6921 |                   10 |                 auction_extra3 |
| +I |                  199 |                74231 |                 3638 |                          baidu |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra7 |                         Item E |                  Description A |                 6356 |                 3586 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5484 |                    5 |                 auction_extra3 |
| +I |                  200 |                68689 |                 9305 |                          Apple |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra3 |                         Item D |                  Description E |                 2821 |                 1671 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8026 |                   20 |                 auction_extra4 |
| +I |                  201 |                16722 |                 4636 |                       FaceBook | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra8 |                         Item C |                  Description D |                 6849 |                 6883 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7132 |                   15 |                 auction_extra1 |
| +I |                  202 |                59587 |                 9136 |                       FaceBook | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra5 |                         Item C |                  Description E |                 2558 |                 4329 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4905 |                   10 |                 auction_extra6 |
| +I |                  203 |                62509 |                 5462 |                          baidu | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra5 |                         Item B |                  Description C |                 7981 |                 5918 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2229 |                   10 |                 auction_extra7 |
| +I |                  204 |                34919 |                 9704 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra4 |                         Item C |                  Description E |                 2872 |                 6367 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2061 |                   25 |                 auction_extra8 |
| +I |                  205 |                43617 |                 6786 |                         google |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description E |                 3753 |                 4059 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4630 |                    5 |                 auction_extra2 |
| +I |                  206 |                10978 |                 9083 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra1 |                         Item C |                  Description B |                 6267 |                 3709 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4387 |                   20 |                 auction_extra9 |
| +I |                  207 |                12719 |                 2700 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                        extra10 |                         Item A |                  Description C |                 5436 |                 5426 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7827 |                   20 |                 auction_extra9 |
| +I |                  208 |                44266 |                 4338 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra3 |                         Item E |                  Description C |                 5025 |                 2091 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5755 |                   25 |                 auction_extra6 |
| +I |                  209 |                79056 |                 1810 |                       facebook | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra1 |                         Item D |                  Description A |                 4661 |                 4577 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5329 |                    5 |                 auction_extra6 |
| +I |                  210 |                24204 |                 4321 |                         google | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                        extra10 |                         Item B |                  Description B |                 5551 |                 1547 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3702 |                   20 |                 auction_extra9 |
| +I |                  211 |                38969 |                 8181 |                          baidu |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                        extra10 |                         Item C |                  Description A |                 7118 |                 5437 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2239 |                   10 |                 auction_extra1 |
| +I |                  212 |                36336 |                 9156 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description B |                 7763 |                 6558 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3801 |                   20 |                 auction_extra6 |
| +I |                  213 |                70622 |                 1039 |                          baidu |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra7 |                         Item B |                  Description B |                 2604 |                 5549 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1018 |                   20 |                 auction_extra7 |
| +I |                  214 |                20122 |                 7464 |                          aPpLe |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra9 |                         Item C |                  Description E |                 7875 |                 6478 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8945 |                    5 |                 auction_extra1 |
| +I |                  215 |                10252 |                 3361 |                         google |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra3 |                         Item B |                  Description C |                 3394 |                 3180 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4559 |                   25 |                auction_extra10 |
| +I |                  216 |                28037 |                 7763 |                         google |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra4 |                         Item A |                  Description C |                 6775 |                 6703 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1549 |                   20 |                 auction_extra2 |
| +I |                  217 |                69590 |                 9430 |                          baidu |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra9 |                         Item E |                  Description E |                 7402 |                 6053 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1477 |                    5 |                 auction_extra1 |
| +I |                  218 |                51645 |                 4149 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra3 |                         Item B |                  Description A |                 5771 |                 5149 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6809 |                   10 |                 auction_extra4 |
| +I |                  219 |                24373 |                 9038 |                       facebook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra5 |                         Item D |                  Description B |                 7972 |                 6664 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3311 |                   10 |                 auction_extra3 |
| +I |                  220 |                15506 |                 4369 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra7 |                         Item D |                  Description B |                 2063 |                 1893 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5856 |                   20 |                 auction_extra9 |
| +I |                  221 |                63639 |                 6523 |                       facebook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra3 |                         Item A |                  Description C |                 6534 |                 3358 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4807 |                   20 |                 auction_extra6 |
| +I |                  222 |                66335 |                 3886 |                          Apple |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra1 |                         Item C |                  Description E |                 5026 |                 6211 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9866 |                   15 |                 auction_extra5 |
| +I |                  223 |                17677 |                 6195 |                          aPpLe |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra2 |                         Item E |                  Description C |                 4549 |                 3849 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5578 |                   10 |                 auction_extra7 |
| +I |                  224 |                23186 |                 5348 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra2 |                         Item E |                  Description B |                 7515 |                 4621 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4801 |                   15 |                 auction_extra9 |
| +I |                  225 |                18911 |                 4560 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra7 |                         Item D |                  Description A |                 7808 |                 6430 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8425 |                    5 |                 auction_extra6 |
| +I |                  226 |                41748 |                 8990 |                          aPpLe |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra4 |                         Item B |                  Description E |                 4309 |                 2369 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6658 |                   15 |                 auction_extra3 |
| +I |                  227 |                44273 |                 8214 |                       FaceBook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                        extra10 |                         Item C |                  Description B |                 2127 |                 3793 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1080 |                   20 |                 auction_extra3 |
| +I |                  228 |                11286 |                 2192 |                       FaceBook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra5 |                         Item B |                  Description A |                 2431 |                 4130 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2508 |                   10 |                 auction_extra6 |
| +I |                  229 |                22145 |                 2011 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra9 |                         Item A |                  Description B |                 7444 |                 3274 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9585 |                    5 |                 auction_extra1 |
| +I |                  230 |                41670 |                 7450 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra4 |                         Item A |                  Description A |                 2231 |                 2403 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9565 |                   25 |                auction_extra10 |
| +I |                  231 |                74300 |                 6658 |                       facebook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra3 |                         Item B |                  Description B |                 6033 |                 3064 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1176 |                   15 |                 auction_extra8 |
| +I |                  232 |                13286 |                 8063 |                         google |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra5 |                         Item C |                  Description A |                 7984 |                 2405 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3982 |                   20 |                 auction_extra3 |
| +I |                  233 |                22969 |                 7726 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra2 |                         Item C |                  Description E |                 6909 |                 4493 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9319 |                   25 |                 auction_extra4 |
| +I |                  234 |                64388 |                 8435 |                          Apple |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra6 |                         Item C |                  Description A |                 5493 |                 4730 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6893 |                   25 |                 auction_extra8 |
| +I |                  235 |                99494 |                 7796 |                          Apple |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra8 |                         Item C |                  Description E |                 2661 |                 5067 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1053 |                   25 |                 auction_extra6 |
| +I |                  236 |                79409 |                 6019 |                       facebook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra3 |                         Item C |                  Description B |                 6951 |                 6976 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4304 |                    5 |                 auction_extra7 |
| +I |                  237 |                58991 |                 9777 |                          baidu |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra4 |                         Item A |                  Description C |                 7235 |                 1505 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1003 |                   20 |                 auction_extra2 |
| +I |                  238 |                14353 |                 2471 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra4 |                         Item E |                  Description D |                 4404 |                 3843 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4632 |                   15 |                 auction_extra4 |
| +I |                  239 |                29977 |                 2366 |                         google |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra4 |                         Item B |                  Description B |                 4969 |                 5928 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2601 |                   10 |                 auction_extra4 |
| +I |                  240 |                27871 |                 3023 |                          aPpLe |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra8 |                         Item A |                  Description B |                 3724 |                 5981 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4635 |                   20 |                auction_extra10 |
| +I |                  241 |                55560 |                 4934 |                       FaceBook |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra3 |                         Item D |                  Description A |                 2875 |                 1959 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7639 |                    5 |                 auction_extra3 |
| +I |                  242 |                73326 |                 4908 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                        extra10 |                         Item D |                  Description D |                 6572 |                 1560 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2133 |                   10 |                 auction_extra6 |
| +I |                  243 |                68032 |                 5500 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra3 |                         Item C |                  Description D |                 5683 |                 5086 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6682 |                   25 |                 auction_extra6 |
| +I |                  244 |                15446 |                 1410 |                          aPpLe |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra1 |                         Item C |                  Description B |                 4364 |                 5477 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4187 |                    5 |                 auction_extra9 |
| +I |                  245 |                22145 |                 9376 |                          aPpLe |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra7 |                         Item E |                  Description A |                 5298 |                 4766 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8777 |                   15 |                 auction_extra4 |
| +I |                  246 |                69257 |                 4292 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra8 |                         Item E |                  Description C |                 7286 |                 6711 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6848 |                    5 |                 auction_extra6 |
| +I |                  247 |                91103 |                 6020 |                       facebook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra4 |                         Item B |                  Description B |                 4456 |                 3042 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4023 |                    5 |                auction_extra10 |
| +I |                  248 |                66048 |                 4514 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra2 |                         Item D |                  Description C |                 7797 |                 3523 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2734 |                    5 |                 auction_extra6 |
| +I |                  249 |                59737 |                 5300 |                          aPpLe |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra7 |                         Item A |                  Description E |                 5279 |                 2226 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1955 |                   15 |                 auction_extra3 |
| +I |                  250 |                72598 |                 2098 |                          aPpLe |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra7 |                         Item C |                  Description E |                 3552 |                 3029 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6377 |                   25 |                 auction_extra5 |
| +I |                  251 |                79146 |                 6020 |                         google |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra4 |                         Item E |                  Description B |                 6696 |                 2959 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2544 |                   25 |                 auction_extra6 |
| +I |                  252 |                70883 |                 4709 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra8 |                         Item A |                  Description D |                 4309 |                 2231 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7922 |                   20 |                 auction_extra2 |
| +I |                  253 |                48947 |                 3921 |                         google |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra8 |                         Item C |                  Description B |                 5670 |                 3173 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9239 |                    5 |                 auction_extra7 |
| +I |                  254 |                68629 |                 9985 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description B |                 4924 |                 6040 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6378 |                    5 |                 auction_extra7 |
| +I |                  255 |                54100 |                 6545 |                       facebook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra7 |                         Item E |                  Description E |                 5259 |                 1875 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9669 |                   25 |                 auction_extra2 |
| +I |                  256 |                46113 |                 9959 |                         google |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra3 |                         Item A |                  Description A |                 5252 |                 3877 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9902 |                   10 |                 auction_extra6 |
| +I |                  257 |                74753 |                 6898 |                          Apple |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra3 |                         Item B |                  Description D |                 5945 |                 2958 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1306 |                   15 |                 auction_extra9 |
| +I |                  258 |                47170 |                 6887 |                       FaceBook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra8 |                         Item C |                  Description C |                 2993 |                 4459 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5664 |                    5 |                 auction_extra9 |
| +I |                  259 |                27549 |                 8723 |                       FaceBook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra8 |                         Item D |                  Description B |                 5722 |                 5794 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1832 |                   15 |                 auction_extra9 |
| +I |                  260 |                17957 |                 9779 |                         google |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra3 |                         Item D |                  Description E |                 2769 |                 3572 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1608 |                   20 |                 auction_extra2 |
| +I |                  261 |                85071 |                 1486 |                       facebook |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra8 |                         Item C |                  Description B |                 5471 |                 1955 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5564 |                    5 |                 auction_extra4 |
| +I |                  262 |                82296 |                 5645 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra5 |                         Item C |                  Description B |                 7895 |                 4922 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5202 |                    5 |                 auction_extra8 |
| +I |                  263 |                84837 |                 1212 |                         google |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra9 |                         Item C |                  Description D |                 6411 |                 6015 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1234 |                    5 |                 auction_extra4 |
| +I |                  264 |                81141 |                 3279 |                       FaceBook |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra1 |                         Item A |                  Description C |                 5696 |                 2585 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1662 |                   20 |                 auction_extra4 |
| +I |                  265 |                30612 |                 5765 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra8 |                         Item E |                  Description A |                 2475 |                 6509 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7347 |                    5 |                 auction_extra6 |
| +I |                  266 |                40885 |                 5759 |                          baidu |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra1 |                         Item D |                  Description C |                 3875 |                 6203 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4355 |                   10 |                 auction_extra6 |
| +I |                  267 |                61978 |                 9687 |                          Apple |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra3 |                         Item B |                  Description D |                 6828 |                 6866 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 8494 |                   25 |                 auction_extra1 |
| +I |                  268 |                72657 |                 5769 |                       FaceBook |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra6 |                         Item A |                  Description A |                 6370 |                 6932 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 2729 |                    5 |                 auction_extra6 |
| +I |                  269 |                78502 |                 6080 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra4 |                         Item A |                  Description C |                 5352 |                 5513 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6236 |                    5 |                 auction_extra7 |
| +I |                  270 |                66791 |                 6821 |                          Apple |  http://baidu.cn/search?q=test | 2025-04-13 01:15:01.000 |                         extra8 |                         Item E |                  Description A |                 7951 |                 4543 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 4103 |                   20 |                 auction_extra9 |
| +I |                  271 |                73024 |                 8156 |                       FaceBook |        http://google.com/track | 2025-04-13 01:15:01.000 |                         extra7 |                         Item A |                  Description B |                 4397 |                 3369 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5257 |                   20 |                 auction_extra4 |
| +I |                  272 |                42018 |                 1760 |                         google |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra5 |                         Item A |                  Description E |                 2672 |                 4040 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9440 |                   20 |                auction_extra10 |
| +I |                  273 |                51822 |                 4078 |                          aPpLe | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra4 |                         Item B |                  Description A |                 4926 |                 5066 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1173 |                   20 |                 auction_extra1 |
| +I |                  274 |                10711 |                 1445 |                          aPpLe |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra8 |                         Item B |                  Description A |                 2916 |                 3660 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3233 |                   10 |                 auction_extra2 |
| +I |                  275 |                99080 |                 7586 |                       facebook |               http://fb.com/ad | 2025-04-13 01:15:01.000 |                         extra7 |                         Item A |                  Description B |                 2049 |                 5282 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 5323 |                   15 |                 auction_extra9 |
| +I |                  276 |                71206 |                 2990 |                          aPpLe |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra1 |                         Item D |                  Description D |                 2509 |                 4210 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 3505 |                    5 |                 auction_extra4 |
| +I |                  277 |                43573 |                 6358 |                          Apple |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra6 |                         Item D |                  Description A |                 6271 |                 2884 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6923 |                   20 |                 auction_extra5 |
| +I |                  278 |                29108 |                 1118 |                       FaceBook |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                         extra7 |                         Item E |                  Description B |                 6434 |                 6399 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 9619 |                   10 |                auction_extra10 |
| +I |                  279 |                79025 |                 4455 |                         google |  http://iosapps.com/?utm=apple | 2025-04-13 01:15:01.000 |                         extra9 |                         Item B |                  Description D |                 7644 |                 1658 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 7485 |                   25 |                 auction_extra2 |
| +I |                  280 |                17273 |                 5656 |                          aPpLe |       http://social.com?src=fb | 2025-04-13 01:15:01.000 |                        extra10 |                         Item E |                  Description D |                 2404 |                 5229 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 1474 |                   15 |                 auction_extra4 |
| +I |                  281 |                36304 |                 1651 |                       facebook | http://apple.com/ad?campaig... | 2025-04-13 01:15:01.000 |                         extra2 |                         Item E |                  Description B |                 5604 |                 3970 | 2025-04-13 01:15:01.000 | 2025-04-13 01:15:01.000 |                 6480 |                   20 |                auction_extra10 |
